index,measured,predicted
,12128.0,12135.410130864919
,14059.0,14063.000393020919
,12067.0,12072.446844960265
,16707.0,16715.602232998004
,13431.0,13438.668894975375
,17471.0,17471.556805300308
,5605.0,5610.375221043814
,12011.0,12013.621606979255
,5372.0,5374.741952870516
,13440.0,13444.026496254846
,16737.0,16740.360108927904
,17483.0,17489.635683767407
,10390.0,10394.902594312867
,15798.0,15801.304187541233
,16762.0,16766.109658081863
,13672.0,13675.834185818436
,13713.0,13719.735197682894
,16711.0,16713.487104340584
,16558.0,16561.782669254128
,16601.0,16601.864760651744
,12826.0,12822.617525460415
,9149.0,9153.634046488602
,10995.0,11000.16109049715
,10323.0,10324.144587448984
,13233.0,13241.67438655997
,17276.0,17275.364085813504
,16033.0,16036.114396293253
,13050.0,13052.532040374936
,6538.0,6544.831948035896
,17242.0,17248.67339692475
